[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss.s],STRING[20],STRING[2],LONG[DEC.0],SHORT[DEC.0]
TIME,Code model ,Judge,VaccumAct,VaccumSpec
2023/11/10 14:08:46.4,,OK123,68,660
2023/11/10 14:09:21.0,,OK,48,660
2023/11/10 14:09:47.0,,OK,86,660
2023/11/10 14:10:11.9,,OK,150,660
2023/11/10 14:10:35.0,,OK,61,660
2023/11/10 14:11:36.6,,OK,120,660
2023/11/10 14:12:00.4,,OK,62,660
2023/11/10 14:12:26.5,,OK,67,660
2023/11/10 14:12:53.8,,OK,48,660
2023/11/10 14:13:16.2,,OK,76,660
2023/11/10 14:13:41.0,,OK,41,660
2023/11/10 14:14:04.4,,OK,65,660
2023/11/10 14:14:29.3,,NG,120,660
2023/11/10 14:14:53.6,,OK,210,660
2023/11/10 14:15:16.8,,OK,99999,660
2023/11/10 14:15:44.9,,OK,76,660
2023/11/10 14:16:08.7,,OK,41,660
2023/11/10 14:16:35.0,,OK,67,660
2023/11/10 14:17:00.0,,OK,83,660
2023/11/10 14:17:38.3,,OK,74,660
2023/11/10 14:18:11.3,,OK,120,660
2023/11/10 14:18:58.7,,OK,73,660
2023/11/10 14:19:23.8,,OK,72,660
2023/11/10 14:20:01.0,,OK,100,660
2023/11/10 14:20:25.1,,OK,110,660
2023/11/10 14:20:49.6,,OK,86,660
2023/11/10 14:21:17.9,,OK,60,660
2023/11/10 14:21:44.9,,OK,40,660
2023/11/10 14:22:12.9,,OK,90,660
2023/11/10 14:22:37.2,,OK,160,660
2023/11/10 14:23:05.1,,OK,86,660
2023/11/10 14:23:32.2,,OK,190,660
2023/11/10 14:23:56.3,,OK,66,660
2023/11/10 14:24:27.9,,OK,100,660
2023/11/10 14:24:56.8,,OK,42,660
2023/11/10 14:25:19.5,,OK,75,660
2023/11/10 14:25:45.3,,OK,55,660
2023/11/10 14:26:11.6,,OK,0,0
2023/11/10 14:26:44.1,,NG,0,0
2023/11/10 14:27:16.1,,OK,0,0
2023/11/10 14:27:35.8,,OK,0,0
2023/11/10 14:28:02.0,,OK,0,0
2023/11/10 14:28:23.8,,OK,0,0
2023/11/10 14:29:01.4,,OK,0,0
2023/11/10 14:29:27.8,,OK,0,0
2023/11/10 14:29:55.4,,OK,0,0
2023/11/10 14:30:21.3,,OK,0,0
2023/11/10 14:30:46.9,,OK,0,0
2023/11/10 14:31:17.8,,OK,0,0
2023/11/10 14:31:44.6,,OK,0,0
2023/11/10 14:32:07.7,,OK,0,0
2023/11/10 14:32:36.6,,OK,0,0
2023/11/10 14:33:00.4,,OK,0,0
2023/11/10 14:33:31.2,,OK,0,0
2023/11/10 14:36:29.4,,OK,0,0
2023/11/10 14:36:55.0,,OK,0,0
2023/11/10 14:37:23.2,,OK,0,0
2023/11/10 14:38:13.5,,OK,0,0
2023/11/10 14:38:37.2,,OK,0,0
2023/11/10 14:39:06.6,,OK,0,0
2023/11/10 14:39:34.4,,OK,0,0
2023/11/10 14:40:02.1,,OK,0,0
2023/11/10 14:40:27.3,,OK,0,0
2023/11/10 14:40:50.0,,OK,0,0
2023/11/10 14:41:16.2,,NG,0,0
2023/11/10 14:41:43.0,,OK,0,0
2023/11/10 14:42:08.7,,OK,0,0
2023/11/10 14:42:34.6,,OK,0,0
2023/11/10 14:42:59.6,,OK,0,0
2023/11/10 14:43:29.4,,OK,0,0
2023/11/10 14:43:53.2,,OK,0,0
2023/11/10 14:44:21.0,,OK,0,0
2023/11/10 14:44:52.3,,OK,0,0
2023/11/10 14:45:16.4,,OK,0,0
2023/11/10 14:45:43.9,,OK,0,0
2023/11/10 14:46:04.2,,OK,0,0
2023/11/10 14:46:31.4,,OK,0,0
2023/11/10 14:46:55.2,,OK,0,0
2023/11/10 14:47:34.2,,OK,0,0
2023/11/10 14:48:01.5,,OK,0,0
2023/11/10 14:48:27.7,,OK,0,0
2023/11/10 14:48:51.9,,OK,0,0
2023/11/10 14:49:17.4,,OK,0,0
2023/11/10 14:49:48.7,,OK,0,0
2023/11/10 14:50:12.5,,OK,0,0
2023/11/10 14:50:45.6,,OK,0,0
2023/11/10 14:51:06.5,,OK,0,0
2023/11/10 14:51:43.9,,OK,0,0
2023/11/10 14:52:07.7,,OK,0,0
2023/11/10 14:52:29.1,,OK,0,0
2023/11/10 14:52:55.3,,NG,0,0
2023/11/10 14:53:54.1,,OK,0,0
2023/11/10 14:54:42.3,,OK,0,0
2023/11/10 14:55:09.1,,OK,0,0
2023/11/10 14:55:31.9,,OK,0,0
2023/11/10 14:56:23.8,,OK,0,0
2023/11/10 14:56:53.3,,OK,0,0
2023/11/10 14:57:20.2,,OK,0,0
2023/11/10 14:57:45.0,,OK,0,0
2023/11/10 14:58:15.3,,OK,0,0
2023/11/10 14:58:46.5,,OK,0,0
2023/11/10 14:59:10.7,,OK,0,0
2023/11/10 14:59:34.0,,OK,0,0
2023/11/10 15:00:05.9,,OK,0,0
2023/11/10 15:00:26.0,,OK,0,0
2023/11/10 15:00:55.0,,OK,0,0
2023/11/10 15:01:18.6,,OK,0,0
2023/11/10 15:01:42.7,,OK,0,0
2023/11/10 15:02:18.3,,OK,0,0
2023/11/10 15:02:45.0,,OK,0,0
2023/11/10 15:03:08.6,,OK,0,0
2023/11/10 15:03:36.3,,OK,0,0
2023/11/10 15:04:02.1,,OK,0,0
2023/11/10 15:04:38.2,,OK,0,0
2023/11/10 15:04:58.8,,OK,0,0
2023/11/10 15:05:24.3,,OK,0,0
2023/11/10 15:05:48.3,,NG,0,0
2023/11/10 15:06:18.0,,OK,0,0
2023/11/10 15:06:42.4,,OK,0,0
2023/11/10 15:07:11.0,,OK,0,0
2023/11/10 15:07:34.6,,OK,0,0
2023/11/10 15:08:02.0,,OK,0,0
2023/11/10 15:08:41.2,,OK,0,0
2023/11/10 15:09:05.9,,OK,0,0
2023/11/10 15:09:32.2,,OK,0,0
2023/11/10 15:10:05.2,,OK,0,0
2023/11/10 15:10:37.4,,OK,0,0
2023/11/10 15:10:57.4,,OK,0,0
2023/11/10 15:11:21.9,,OK,0,0
2023/11/10 15:12:18.0,,OK,0,0
2023/11/10 15:13:15.5,,OK,0,0
2023/11/10 15:13:46.1,,OK,0,0
2023/11/10 15:14:12.1,,OK,0,0
2023/11/10 15:15:16.6,,OK,0,0
2023/11/10 15:15:36.1,,OK,0,0
2023/11/10 15:16:01.5,,OK,0,0
2023/11/10 15:16:26.3,,OK,0,0
2023/11/10 15:17:13.8,,OK,0,0
2023/11/10 15:17:43.4,,OK,0,0
2023/11/10 15:18:02.8,,OK,0,0
2023/11/10 15:18:45.5,,OK,0,0
2023/11/10 15:19:09.7,,OK,0,0
2023/11/10 15:19:35.9,,NG,0,0
2023/11/10 15:20:05.3,,OK,0,0
2023/11/10 15:20:42.6,,OK,0,0
2023/11/10 15:21:10.7,,OK,0,0
2023/11/10 15:21:35.7,,OK,0,0
2023/11/10 15:22:06.4,,OK,0,0
2023/11/10 15:22:28.6,,OK,0,0
2023/11/10 15:22:54.0,,OK,0,0
2023/11/10 15:23:17.4,,OK,0,0
2023/11/10 15:23:46.8,,OK,0,0
2023/11/10 15:24:14.7,,OK,0,0
2023/11/10 15:24:40.0,,OK,0,0
2023/11/10 15:25:07.5,,OK,0,0
2023/11/10 15:25:32.0,,OK,0,0
2023/11/10 15:25:57.8,,OK,0,0
2023/11/10 15:26:26.8,,OK,0,0
2023/11/10 15:26:51.5,,OK,0,0
2023/11/10 15:28:00.9,,OK,0,0
2023/11/10 15:28:27.3,,OK,0,0
2023/11/10 15:28:56.1,,OK,0,0
2023/11/10 15:29:20.5,,OK,0,0
2023/11/10 15:30:11.3,,OK,0,0
2023/11/10 15:30:37.3,,OK,0,0
2023/11/10 15:31:01.6,,OK,0,0
2023/11/10 15:31:29.9,,OK,0,0
2023/11/10 15:32:27.3,,OK,0,0
2023/11/10 15:32:53.0,,NG,0,0
2023/11/10 15:33:21.1,,OK,0,0
2023/11/10 15:33:46.2,,OK,0,0
2023/11/10 15:34:11.6,,OK,0,0
2023/11/10 15:34:40.3,,OK,0,0
2023/11/10 15:35:03.8,,OK,0,0
2023/11/10 15:35:31.0,,OK,0,0
2023/11/10 15:36:18.6,,OK,0,0
